dm_key,dm_code_sample,primary_name,variant_count,total_people,all_variants
7940,794000,Freizus,6,21,Freizus (12) | Frazis (3) | Frasius (3) | Berish (1) | Baratz (1) | Boris (1)
4787,478750,Splaver,3,20,Splaver (16) | Sofilovich (2) | Tzeplovich (2)
5360,536000,Goodman,3,20,Goodman (18) | Hadden (1) | Goodman Watt (1)
7800,780000,Weil,5,18,Weil (13) | Paley (2) | Bell (1) | Paula (1) | Wahl-Katzenellenbogen (1)
3797,379700,Dubrow,2,18,Dubrow (17) | Dubrovsky (1)
4638,463890,Sandler,1,18,Sandler (18)
4794,479400,Schvartzman,5,17,Schvartzman (9) | Schwarz (4) | Schwartz (2) | Svartz (1) | Schwarcz or Schwartz (1)
4900,490000,Schor,5,16,Schor (12) | Shorr (1) | Shor (1) | Schorr (1) | Sura (1)
7930,793000,Wirth,6,15,Wirth (10) | Berretta (1) | Brody (1) | Bertha (1) | Ferd (1) | Birdie (1)
0787,078760,Appelbaum,3,15,Appelbaum (13) | Apelbaum (1) | Apellbaum (1)
8764,876460,Levinsohn,3,15,Levinsohn (11) | Levinson (3) | Levinstein (1)
5965,596500,Kramnik,1,15,Kramnik (15)
4600,460000,Susman,8,14,Susman (6) | Shon (2) | Shoshana (1) | Shmion (1) | Semion (1) | Sunny (1) | Shemiah (1) | Sam (1)
5960,596000,Crane,5,14,Crane (4) | Koren (3) | Korn (3) | Corin (3) | Grin (1)
8700,870000,Levi,5,14,Levi (6) | Levy (3) | Lieff (3) | Leiba (1) | Leib (1)
5400,540000,Katz,4,14,Katz (6) | Gass (6) | Chassa (1) | Heshy (1)
4700,470000,Schwab,3,14,Schwab (12) | Schiff (1) | Shiff (1)
7690,769000,Viniar,1,14,Viniar (14)
0450,045000,Aishiski,6,13,Aishiski (7) | Eishyski (2) | Ejszyszki (1) | Aishiski? (1) | Ashke (1) | Itzhaki (1)
0498,049800,Isserles,5,13,Isserles (8) | Izrailevich (2) | Israely (1) | Izraylevich (1) | Iserles (1)
6000,600000,Man,5,13,Man (6) | Mane (2) | M'Skvira (2) | M'Skvere (2) | Mann (1)
4659,465900,Shenker,4,13,Shenker (6) | Singer (3) | Zingerman (3) | Shenkar (1)
5650,565000,Cohenca,3,13,Cohenca (9) | Cuenca (3) | King (1)
6954,695400,Marks,3,13,Marks (7) | Marcus (5) | Marquis (1)
4790,479000,Shapiro,7,12,Shapiro (5) | Shipper (2) | Shifra (1) | Sapir (1) | Shapira (1) | Zipporah (1) | Sparr (1)
5000,500000,Haag,4,12,Haag (9) | Cook (1) | Ha-Levi (1) | Ha-Chasid (1)
5830,583000,Held,3,12,Held (10) | Gilad (1) | Hilda (1)
4645,464500,Sosensky,2,12,Sosensky (11) | Sosinsky (1)
7850,785000,Bialik,2,12,Bialik (8) | Polak (4)
4846,484600,Saltzman,1,12,Saltzman (12)
7964,796436,Burnstein,4,11,Burnstein (7) | Bernstein (2) | Berrenstein (1) | Bronshtein (1)
5946,594600,Grossman,6,10,Grossman (4) | Groisman (2) | Karazin (1) | Grosman (1) | Grayson (1) | Gershon (1)
5130,513000,Chayet,4,10,Chayet (5) | Hayuth (2) | Hayut (2) | Chayut (1)
5864,586400,Kalonymus,3,10,Kalonymus (8) | Kalonimus (1) | Kalonymos (1)
5979,597930,Herbert,2,10,Herbert (9) | Grubber (1)
9760,976000,Rubin,2,10,Rubin (9) | Riban (1)
7950,795000,Baruch,6,9,Baruch (3) | Barik (2) | Pereg (1) | Berachya (1) | Burk (1) | Berg (1)
0860,086000,Alon,3,9,Alon (4) | Eilon (3) | Eilon (Alperovich) (2)
7654,765400,Pinhas,3,9,Pinhas (7) | Pinchas (1) | Banks (1)
8763,876300,Livnat,3,9,Livnat (7) | Livnat-Tal (Livnat) (1) | Livnat-Tal (1)
9467,946760,Rosenberg,3,9,Rosenberg (7) | Rosenbaum (1) | Rosenblum (1)
7560,756000,Bogen,2,9,Bogen (7) | Bogin (2)
6950,695000,Nurok,1,9,Nurok (9)
7937,793745,Bordoffsky,1,9,Bordoffsky (9)
5796,579650,Kobryncuk,4,8,Kobryncuk (3) | Kobrinchuk (2) | Kobrynczuk (2) | Kobrinchuck (1)
8760,876000,Livne,3,8,Livne (5) | Levine (2) | Levin (1)
0460,046000,Isaacson,1,8,Isaacson (8)
0743,074360,Epstein,1,8,Epstein (8)
7385,738500,Petlakh,1,8,Petlakh (8)
7464,746436,Weissenstein,1,8,Weissenstein (8)
7658,765800,Finkel,1,8,Finkel (8)
7679,767950,Weinberg,1,8,Weinberg (8)
7947,794750,Warszawiak,1,8,Warszawiak (8)
1464,146450,Jasinski (Jasinska),4,7,Jasinski (Jasinska) (2) | Jasinski (2) | Jasinski ( Jasinska) (2) | Jasinska (1)
5790,579000,Kfir,3,7,Kfir (5) | Kfir Hayun (1) | Gauber (1)
7300,730000,Beda,3,7,Beda (5) | Batia (1) | Babad (1)
5630,563000,Hunt,2,7,Hunt (6) | Kent (1)
5836,583600,Gilden,2,7,Gilden (6) | Goldin (1)
5967,596795,Greenberg,2,7,Greenberg (6) | Kronenberg (1)
6190,619000,Meyer,2,7,Meyer (5) | Mayer (2)
7539,753900,Wechter,2,7,Wechter (5) | Pechter (2)
0456,045640,Ashkenazi,1,7,Ashkenazi (7)
3630,363000,Diamond,1,7,Diamond (7)
3800,380000,Tal,1,7,Tal (7)
4369,436900,Siedner,1,7,Siedner (7)
5975,597500,Gurevich,1,7,Gurevich (7)
7459,745900,Becker,1,7,Becker (7)
7836,783645,Plotnick,6,6,Plotnick (1) | Waldman (1) | Waldenmeier (1) | Bolton-Foster (1) | Vilednik (1) | Feldman (1)
5800,580000,Hal,5,6,Hal (2) | Hal (Alperovich) (1) | Celia (1) | Cacilie (1) | Coghill (1)
5860,586000,Kolman,5,6,Kolman (2) | Kleiman (1) | Klein (1) | Cygielman (1) | Kalman (1)
7845,784500,Black,4,6,Black (3) | Pulaski (1) | Flicker (1) | Pollack (1)
7963,796300,Frajnt,4,6,Frajnt (2) | Fraint (2) | Freint (1) | Fraynt (1)
3400,340000,Deitch,3,6,Deitch (4) | Duze (1) | Deutch (1)
6456,645630,Maskind,3,6,Maskind (4) | Musciant (1) | Meskin (1)
7639,763900,Bender,3,6,Bender (4) | Bendor (1) | Winder (1)
9500,950000,Rice,3,6,Rice (3) | Reich (2) | Rice-Talsky (1)
0386,038600,Edelman,2,6,Edelman (5) | Adleman (1)
0696,069600,Amiron,2,6,Amiron (5) | Ammerman (1)
